Catálogo de Servicio,Área,Item
ControlCambio,Base de Datos,FailOver
ControlCambio,Base de Datos,Clonado
ControlCambio,Base de Datos,Mantenimiento Preventivo
ControlCambio,Base de Datos,Mantenimiento Correctivo
ControlCambio,Base de Datos,Configuración
ControlCambio,Base de Datos,Reinicio
ControlCambio,Base de Datos,Actualizaciones
ControlCambio,Base de Datos,Usuarios
Accesos,Lync,Cuenta
Comunicaciones,Red WAN,Soporte
Comunicaciones,Red LAN,Cableado
Accesos,FolderCompartido,Permisos
Comunicaciones,Monitoreo,Switch
Comunicaciones,Infraestructura,Enlace MPLS
Comunicaciones,Red WiFi,Soporte
Comunicaciones,Red LAN,Fibra
Comunicaciones,Red WAN,Cableado
Accesos,FolderCompartido,Carpeta
Comunicaciones,Infraestructura,Enlace Respaldo
Comunicaciones,Monitoreo,Servidor
Comunicaciones,Monitoreo,Impresora
Comunicaciones,Red WiFi,Cableado
Comunicaciones,Voz,Clave Llamadas
Comunicaciones,Voz,Marcación Corta
Hardware,Desktop,Tarjeta de Video
Hardware,Desktop,Tarjeta de Audio
Hardware,Desktop,Tarjeta de Red
Software,Ingeniería,PC-DEMMIS
Software,Base de Datos,Rendimiento
Hardware,Laptop,HDD Interno
Software,Agentes,VPN Cisco AnyConnect
Software,Base de Datos,Clonado
Software,Aplicaciones Servidor,Dominio
Software,Sistemas Operativos,Almacenamiento Red
Software,Sistemas Operativos,Almacenamiento Local
Software,Sistemas Operativos,Personalizaciones
Software,Sistemas Operativos,Actualizaciones
Software,Sistemas Operativos,Datos
Software,Sistemas Operativos,Parámetros de Kernel
Software,Ingeniería,TrustedLink
Software,Ingeniería,MAGMA
Software,Ingeniería,Fluke
Software,Ingeniería,NX
Software,Sistemas Operativos,Particiones
Software,Sistemas Operativos,Procesos
Software,Sistemas Operativos,Proxy
Software,Sistemas Operativos,Puertos
Software,Sistemas Operativos,Rendimiento
Software,Standard,DataLoad
Comunicaciones,Telefonia Movil,Configuracion
Software,Standard,Imágenes
Software,Standard,Cliente Oracle
Software,Standard,Consola Virtual XP
Software,Sistemas Operativos,Scripts
Software,Sistemas Operativos,Tareas Programadas
Software,Sistemas Operativos,Usuarios
Hardware,Servidores,Perifericos
Hardware,Servidores,Procesadores
Software,Base de Datos,Actualizaciones
Software,Base de Datos,Procesos
Software,Base de Datos,DRP
Software,Base de Datos,Datos
Software,Base de Datos,Almacenamiento
Software,Base de Datos,Parametros
Software,Base de Datos,Objetos
Software,Base de Datos,Usuarios
Comunicaciones,Telefonia Movil,Reparacion
Software,Aplicación Oracle,Personalizaciones
Software,Aplicación Oracle,Desarrollos
Software,Aplicación Oracle,Menus
Software,Aplicación Oracle,Concurrentes
Software,Aplicación Oracle,Procesos
Software,Aplicación Oracle,Scripts
Software,Aplicación Oracle,Monitoreo
Software,Base de Datos,Scripts
Software,Base de Datos,Monitoreo
Comunicaciones,Telefonia Movil,Garantia
Perfil,Usuario,Nombre
Perfil,Usuario,Foto
Perfil,Usuario,Idioma
Software,Aplicación Oracle,Rendimiento
Software,Aplicación Oracle,Clonados
Software,Aplicación Oracle,Actualizaciones
Software,Aplicación Oracle,Responsabilidades
Software,Aplicación Oracle,Usuarios
Perfil,Usuario,Zona Horaria
Perfil,Usuario,Contraseña
Empresa,Información,Nombre
Empresa,Información,Logo
Empresa,Información,Sitio Web
Empresa,Información,Teléfono
Empresa,Metas,Tiempo
Empresa,Metas,Trabajo
Empresa,Reglas de actividades en computadora,Periodo de análisis
Empresa,Reglas de actividades en computadora,Estadísticas personales
Empresa,Reglas de actividades en computadora,Pop-up de estado ánimo
Empresa,Reglas de actividades sin computadora,Límite de tiempo fuera
Empresa,Reglas de actividades sin computadora,Pop-up de actividades sin computadora
Empresa,Reglas de actividades sin computadora,Actividades sin computadora
Administradores y Gerentes,Administrador,Invitación
Administradores y Gerentes,Administrador,Eliminación
Administradores y Gerentes,Administrador,Rol de Administrador a Gerente
Administradores y Gerentes,Gerente,Invitación
Administradores y Gerentes,Gerente,Eliminación
Administradores y Gerentes,Gerente,Rol de Gerente a Administrador
Administradores y Gerentes,Gerente,Equipos para gerenciar
Equipos y Colegas,Colegas,Creación
Equipos y Colegas,Colegas,Asignación de primer equipo
Equipos y Colegas,Colegas,Cambio de equipo
Equipos y Colegas,Colegas,Eliminación
Equipos y Colegas,Colegas,En Espera
Equipos y Colegas,Colegas,Ignorados
Equipos y Colegas,Colegas,Icono de Befective
Equipos y Colegas,Colegas,Pop-up de estado de animo
Equipos y Colegas,Colegas,Pop-up de actividades sin computadora
Equipos y Colegas,Equipos,Diferencias entre equipo y sub-equipo
Equipos y Colegas,Equipos,Creación
Equipos y Colegas,Equipos,Meta de tiempo
Equipos y Colegas,Equipos,Reglas de actividades en computadora
Equipos y Colegas,Equipos,Reglas de actividades sin computadora
Equipos y Colegas,Equipos,Copia de metas y reglas
Equipos y Colegas,Equipos,Actividades relacionadas al trabajo
Equipos y Colegas,Equipos,Actualización de información
Equipos y Colegas,Equipos,Cambio en la estructura organizacional
Equipos y Colegas,Equipos,Eliminación
Equipos y Colegas,Actividades relacionadas al trabajo,Actividades sin computadora
Equipos y Colegas,Actividades relacionadas al trabajo,Categorias en computadora
Equipos y Colegas,Actividades relacionadas al trabajo,Actividades individuales en computadora
Equipos y Colegas,Días Libres,Organizacional
Equipos y Colegas,Días Libres,Equipo
Equipos y Colegas,Días Libres,Individual
Equipos y Colegas,Inventario,Agentes Mac instalados
Equipos y Colegas,Inventario,Agentes Windows instalados
Equipos y Colegas,Logs,Acción realizada
Equipos y Colegas,Logs,Elementos modificados
Agente,Requerimientos Técnicos,Sistema Operativo
Agente,Requerimientos Técnicos,Conectividad
Agente,Requerimientos Técnicos,Nombre de Usuario de Colega
Agente,Windows,Comprobador de requisitos de Windows
Agente,Windows,Agente regular
Agente,Windows,Máquina Virtual de Windows
Agente,Mac,Agente regular
Estadisticas,Histórico,General
Estadisticas,Histórico,General por día
Estadisticas,Histórico,Colega por día
Estadisticas,Histórico,Colega por horas
Estadisticas,Histórico,Colega por hora
Estadisticas,Ejecutivo,Resumen
Estadisticas,Ejecutivo,Meta de Tiempo
Estadisticas,Ejecutivo,Meta de Trabajo
Estadisticas,Ejecutivo,Estados de ánimo
Estadisticas,Ejecutivo,Equipos
Estadisticas,Ejecutivo,Colegas
Estadisticas,Ejecutivo,Actividades
Estadisticas,Ejecutivo,Actividad Individual
Estadisticas,Hoy,Resumen
Estadisticas,Hoy,Detalles
Estadisticas,Compartir Estadísticas,Email
Estadisticas,Compartir Estadísticas,PDF
Estadisticas,Compartir Estadísticas,Excel
Estadisticas,Estadísticas Automáticas,Creación
Estadisticas,Estadísticas Automáticas,Actualización
Estadisticas,Estadísticas Automáticas,Activación/Desactivación
Estadisticas,Estadísticas Automáticas,Eliminación
Sugerencias,Funcionalidades,Mejora a una existente
Sugerencias,Funcionalidades,idea nueva
Sugerencias,Servicio,Soporte
Sugerencias,Servicio,Ventas
Sugerencias,Servicio,Otro
Accesos,ColaboraTupy,ColaboraTupy LOLO
LOLO,LOLO2,-------
LOLO,LOLO1,LALLA
LOLO,LOLO2,-------
LOLO,LOLO2,-------
LOLO,LOLO2,LALA1
